Organism Type,Bacteria Gram Stain,Species Code,Species Full Name,Reported Name ,CLSI Breakpoint Group,Other Group,CLSI Breakpoint Group Document,,,Pooled Name,Weighted Average Rule KEY,Reporting Rules,Weighted Average Rules
Bacteria,Negative,camjcu,Campylobacter jejuni/coli/upsaliensis,Campylobacter jejuni/coli,Campylobacter jejuni/coli,,M45,,,,,,
Bacteria,Negative,camlai,Campylobacter lari,Campylobacter spp. other than jenuni/coli,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,camlar,Campylobacter laridis,Campylobacter spp. other than jenuni/coli,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,camsho,Campylobacter showae,Campylobacter spp. other than jenuni/coli,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,camspe,Campylobacter species,Campylobacter spp. other than jenuni/coli,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,camspb,Campylobacter sputorum ssp bubulus,Campylobacter spp. other than jenuni/coli,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,camups,Campylobacter upsaliensis,Campylobacter spp. other than jenuni/coli,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,bacure,Campylobacter ureolyticus,Campylobacter spp. other than jenuni/coli,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,camven,Campylobacter veneralis,Campylobacter spp. other than jenuni/coli,Other Non-Enterobacterales,,M100,,,,,,
Yeast,,canalb,Candida albicans,Candida albicans,Yeast,,M60,,,,,,
Yeast,,canald,Candida albicans/dubliniensis,Candida albicans,Yeast,,M60,,,,,,
Yeast,,canaur,Candida auris,Candida auris,Yeast,,M60,,,,,,
Yeast,,cancat,Candida catenulata,Candida catenulata,Yeast,,M60,,,,,,
Yeast,,cancol,Candida colliculosa,Candida colliculosa,Yeast,,M60,,,,,,
Yeast,,candat,Candida dattila,Candida dattila,Yeast,,M60,,,,,,
Yeast,,candub,Candida dubliniensis,Candida dubliniensis,Yeast,,M60,,,,,,
Yeast,,canfam,Candida famata,Candida famata,Yeast,,M60,,,,,,
Yeast,,torgla,Candida glabrata (formerly T.glabrata),Candida glabrata (formerly T.glabrata),Yeast,,M60,,,,,,
Yeast,,cangui,Candida guilliermondii,Candida guilliermondii,Yeast,,M60,,,,,,
Yeast,,canhae,Candida haemulonii,Candida haemulonii,Yeast,,M60,,,,,,
Yeast,,canhel,Candida hellenica,Candida hellenica,Yeast,,M60,,,,,,
Yeast,,canhol,Candida holmii,Candida holmii,Yeast,,M60,,,,,,
Yeast,,caninc,Candida inconspicua,Candida inconspicua,Yeast,,M60,,,,,,
Yeast,,canint,Candida intermedia,Candida intermedia,Yeast,,M60,,,,,,
Yeast,,cankru,Candida krusei,Candida krusei,Yeast,,M60,,,,,,
Yeast,,cankri,Candida krusei/inconspicua,Candida krusei/inconspicua,Yeast,,M60,,,,,,
Yeast,,canlam,Candida lambica,Candida lambica,Yeast,,M60,,,,,,
Yeast,,canlus,Candida lusitaniae,Candida lusitaniae,Yeast,,M60,,,,,,
Yeast,,canmag,Candida magnoliae,Candida magnoliae,Yeast,,M60,,,,,,
Yeast,,canmel,Candida melibiosica,Candida melibiosica,Yeast,,M60,,,,,,
Yeast,,canmem,Candida membranifaciens,Candida membranifaciens,Yeast,,M60,,,,,,
Yeast,,canmet,Candida metapsilosis,Candida metapsilosis,Yeast,,M60,,,,,,
Yeast,,cannor,Candida norvegensis,Candida norvegensis,Yeast,,M60,,,,,,
Yeast,,cannov,Candida norvegica,Candida norvegica,Yeast,,M60,,,,,,
Yeast,,canort,Candida orthopsilosis,Candida orthopsilosis,Yeast,,M60,,,,,,
Yeast,,canpal,Candida palmioleophila,Candida palmioleophila,Yeast,,M60,,,,,,
Yeast,,canpar,Candida parapsilosis,Candida parapsilosis,Yeast,,M60,,,,,,
Yeast,,canptr,Candida paratropicalis,Candida paratropicalis,Yeast,,M60,,,,,,
Yeast,,canpel,Candida pelliculosa,Candida pelliculosa,Yeast,,M60,,,,,,
Yeast,,canpul,Candida pulcherrima,Candida pulcherrima,Yeast,,M60,,,,,,
Yeast,,canrug,Candida rugosa,Candida rugosa,Yeast,,M60,,,,,,
Yeast,,canspe,Candida species,Candida species,Yeast,,M60,,,,,,
Yeast,,csnalb,Candida species (not C. albicans),Candida species,Yeast,,M60,,,,,,
Yeast,,cansna,Candida species not Candida albicans,Candida species,Yeast,,M60,,,,,,
Yeast,,canste,Candida stellatoidea,Candida stellatoidea,Yeast,,M60,,,,,,
Yeast,,cantro,Candida tropicalis,Candida tropicalis,Yeast,,M60,,,,,,
Yeast,,canuti,Candida utilis,Candida utilis,Yeast,,M60,,,,,,
Yeast,,canzey,Candida zeylanoides,Candida zeylanoides,Yeast,,M60,,,,,,
Bacteria,Negative,capgin,Capnocytophaga gingivalis,Capnocytophage spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,capoch,Capnocytophaga ochracea,Capnocytophage spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,capspp,Capnocytophaga species,Capnocytophage spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,capspu,Capnocytophaga sputigena,Capnocytophage spp.,Other Non-Enterobacterales,,M100,,,,,,
,,ce,Card error - missing data,,,,,,,,,,
Bacteria,Negative,carhom,Cardiobacterium hominis,Cardiobacterium hominis,HACEK Group,,M45,,,,,,
Bacteria,Negative,cdce59,CDC Enteric Group 59,CDC Enteric Group 59,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cdcgrp,CDC Group,CDC Group,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cdcef4,CDC group EF-4,CDC group EF-4,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cdcvc2,CDC group IVC-2,CDC group IVC-2,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cdcO1,CDC Group O-1,CDC Group O-1,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cdcvb3,CDC group VB-3,CDC group VB-3,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cdcvps,CDC group VB-3/Pseudomonas stutzeri,CDC group VB-3/Pseudomonas stutzeri,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cdciv,CDC IVc-2,CDC IVc-2,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cdcm6,CDC M-6,CDC M-6,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,ceddav,Cedecea davisae,Cedecea spp.,Enterobacterales,,M100,,,,,,
Bacteria,Negative,cedlap,Cedecea lapagei,Cedecea spp.,Enterobacterales,,M100,,,,,,
Bacteria,Negative,cednet,Cedecea neteri,Cedecea spp.,Enterobacterales,,M100,,,,,,
Bacteria,Negative,cedspp,Cedecea species,Cedecea spp.,Enterobacterales,,M100,,,,,,
Bacteria,Positive,celcel,Cellulosimicrobium cellulans,Cellulosimicrobium spp,Aerobic Actinomycetes,,M24,,,,,,
Bacteria,Positive,celspp,Cellulosimicrobium species,Cellulosimicrobium spp,Aerobic Actinomycetes,,M24,,,,,,
Filamentous Fungi,,chaglo,Chaetomium globosum,Fungal excluding Candida spp,,,,,,,,,
Filamentous Fungi,,chaspp,Chaetomium species,Fungal excluding Candida spp,,,,,,,,,
Parasite,,chimes,Chilomastix mesnili,,,,,,,,,,
Bacteria,N/A,55cpsi,Chlamydia psittaci,,,,,,,,,,
Bacteria,N/A,55ctra,Chlamydia trachomatis,,,,,,,,,,
Bacteria,N/A,chlpne,Chlamydophila pneumoniae,,,,,,,,,,
Bacteria,Negative,chrspp,Chromobacterium species,Chromobacterium spp,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,chrvio,Chromobacterium violaceum,Chromobacterium spp,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,chrgle,Chryseobacterium gleum,Chryseobacterium spp,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,chrsp2,Chryseobacterium indologenes,Chryseobacterium spp,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,flasp2,Chryseobacterium indologenes (formerly Flavobacterium),Chryseobacterium spp,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,chrmen,Chryseobacterium meningosepticum,Chryseobacterium spp,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,chrspe,Chryseobacterium species,Chryseobacterium spp,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cdcve1,Chryseomonas luteola,Chryseomonas spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,chrlut,Chryseomonas luteola/Pseudomonas oryzihabitans,Chryseomonas spp.,Other Non-Enterobacterales,,M100,,,,,,
Filamentous Fungi,,chrsit,Chrysonilia sitophila,,,,,,,,,,
Filamentous Fungi,,chrsp3,Chrysonilia species,,,,,,,,,,
Filamentous Fungi,,chrlob,Chrysosporium lobatum,,,,,,,,,,
Filamentous Fungi,,chrsp1,Chrysosporium species,,,,,,,,,,
Parasite,,cimlec,Cimex lectularius (Bed Bug),,,,,,,,,,
Bacteria,Negative,citama,Citrobacter amalonaticus,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,citbra,Citrobacter braakii,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,citfar,Citrobacter farmeri,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,citfre,Citrobacter freundii,Citrobacter spp.,Enterobacterales,SPICE,M100,,,Citrobacter freundii,,,
Bacteria,Negative,citfrc,Citrobacter freundii complex,Citrobacter spp.,Enterobacterales,SPICE,M100,,,Citrobacter freundii,,,
Bacteria,Negative,citdiv,Citrobacter koseri,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,citmur,Citrobacter murliniae,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,citsed,Citrobacter sedlakii,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,citspe,Citrobacter species,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,citsp2,Citrobacter species / E. cloacae,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,citwer,Citrobacter werkmanii,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,citryo,Citrobacter youngae,Citrobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Filamentous Fungi,,clacar,Cladosporium carrionii,,,,,,,,,,
Filamentous Fungi,,clacla,Cladosporium cladosporioides,,,,,,,,,,
Filamentous Fungi,,claspp,Cladosporium species,,,,,,,,,,
,,0,Class 0 (Zero) All organisms for pop-ups,,,,,,,,,,
Bacteria,Negative,1,Class 1 (Enterobacteriaceae excluding enteric pathogens),,,,,,,,,,
,,2,"Class 2 (esccol, promir, Class J)",,,,,,,,,,
,,4,"Class 4 (esccol, promir, klepne)",,,,,,,,,,
,,5,Class 5 (RG3 Risk Group 3 pathogens),,,,,,,,,,
Virus,,8,Class 8 Flu A and B and RSV,,,,,,,,,,
Bacteria,Negative,9,Class 9 Burkholderia cepacia complex,,,,,,,,,,
,,a,Class a,,,,,,,,,,
,,Z,Class A,,,,,,,,,,
,,A,Class A (Gram positive),,,,,,,,,,
Bacteria,Negative,b,Class b - Acinetobacter species,,,,,,,,,,
,,B,Class B (Gram negative),,,,,,,,,,
,,c,class c,,,,,,,,,,
,,C,Class C (Gram Variable),,,,,,,,,,
,,d,Class d (Serratia),,,,,,,,,,
,,D,"Class D (Staphylococcus, Micrococcus)",,,,,,,,,,
,,e,Class e (Citrobacter),,,,,,,,,,
,,F,Class F - Enteric pathogens,,,,,,,,,,
,,f,Class f (Aeromonas species),,,,,,,,,,
,,G,Class G,,,,,,,,,,
,,g,class g,,,,,,,,,,
,,H,Class H (Enterobacter),,,,,,,,,,
,,h,Class h Corynebacterium species not C.jeikeim,,,,,,,,,,
,,I,Class I (anaerobes),,,,,,,,,,
,,i,Class i Propionibacterium species,,,,,,,,,,
,,J,Class J (Klebsiella spp.),,,,,,,,,,
,,j,Class j Bacillus species not B anthracis,,,,,,,,,,
,,K,Class K (Parasites),,,,,,,,,,
,,k,Class k Micrococcus species,,,,,,,,,,
,,L,Class L (Providencia),,,,,,,,,,
,,l,Class l (Shigella species),,,,,,,,,,
,,m,class m,,,,,,,,,,
,,M,Class M (Mycobacterium sp all),,,,,,,,,,
,,N,Class N,,,,,,,,,,
,,n,class n,,,,,,,,,,
,,o,class o,,,,,,,,,,
,,O,Class O (Bacilli/rods),,,,,,,,,,
,,p,class p,,,,,,,,,,
,,P,Class P,,,,,,,,,,
,,Q,Class Q (Viruses),,,,,,,,,,
,,q,Class q Salmonella not S. typhi,,,,,,,,,,
,,r,class r,,,,,,,,,,
,,R,Class R (Fungus),,,,,,,,,,
,,rr,class rr,,,,,,,,,,
,,s,class s,,,,,,,,,,
,,S,Class S (Morganella),,,,,,,,,,
,,t,class t,,,,,,,,,,
,,T,Class T (Proteus),,,,,,,,,,
,,u,class u,,,,,,,,,,
,,U,Class U - Streptococcus species,,,,,,,,,,
,,V,class V,,,,,,,,,,
,,v,class v,,,,,,,,,,
,,W,class W,,,,,,,,,,
,,w,class w,,,,,,,,,,
,,x,class x,,,,,,,,,,
,,X,Class X (Haemophilus spp.),,,,,,,,,,
,,Y,Class Y (Yeasts),,,,,,,,,,
,,z,"Class z (Acinetobacter, Enterobacteriaceae)",,,,,,,,,,
Bacteria,Positive,clamic,Clavibacter michiganensis,Clavibacter spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,clamii,Clavibacter michiganensis ssp insidiosus,Clavibacter spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,clamim,Clavibacter michiganensis ssp michiganensis,Clavibacter spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,clamin,Clavibacter michiganensis ssp nebraskensis,Clavibacter spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,clamis,Clavibacter michiganensis ssp sepedonicus,Clavibacter spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,clamit,Clavibacter michiganensis ssp tessellarius,Clavibacter spp.,Coryneform Bacteria,,M45,,,,,,
Helminth,,closin,Clonorchis sinensis,,,,,,,,,,
Bacteria,Positive,clodif,Clostridioides difficile (formerly Clostridium difficile),Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,cloace,Clostridium acetobutylicum,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,cloppe,Clostridium barati,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clobot,Clostridium botulinum,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clobut,Clostridium butyricum,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clocad,Clostridium cadaveris,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,cloclo,Clostridium clostridioforme,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clodtb,Clostridium difficile toxin B gene DETECTED,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clofal,Clostridium fallax,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clogly,Clostridium glycolicum,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clohas,Clostridium hastiforme,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,cloinn,Clostridium innocuum,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,eubmon,Clostridium moniliforme (formerly Eubacterium moniliforme),Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clonov,Clostridium novyi A,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,cloppu,Clostridium paraputrificum,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,cloper,Clostridium perfringens,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,cloram,Clostridium ramosum,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,closep,Clostridium septicum,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clospe,Clostridium species,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clospo,Clostridium sporogenes,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,closph,Clostridium sporosphaeroides,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,closub,Clostridium subterminale,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,closym,Clostridium symbiosum,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,cloter,Clostridium tertium,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,clotet,Clostridium tetani,Clostridium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,staneg,Coagulase negative Staphylococcus,Coagulase-negative staphylococcus,Staphylococcus,,M100,,,,,,
Bacteria,Positive,stansl,Coagulase negative staphylococcus (not S. lugdunensis),Coagulase-negative staphylococcus,Staphylococcus,,M100,,,,,,
Bacteria,Positive,stapos,Coagulase positive Staphylococcus,,,,,,,,,,
Filamentous Fungi,,cocimm,Coccidioides immitis,,,,,,,,,,
Filamentous Fungi,,cocimp,Coccidioides immitis/posadassii,,,,,,,,,,
Filamentous Fungi,,cocpos,Coccidioides posadasii,,,,,,,,,,
Bacteria,Positive,eubaer,Collinsella aerofaciens,Collinsella spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,colspe,Collinsella species,Collinsella spp.,Anaerobes,,M100,,,,,,
Bacteria,Negative,comspp,Comamonas species,"Comamonas spp,",Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,comtes,Comamonas testosteronii,Comamonas spp.,Other Non-Enterobacterales,,M100,,,,,,
Filamentous Fungi,,concor,Conidiobolus coronatus,,,,,,,,,,
Virus,,40cor29,Coronavirus 229E,,,,,,,,,,
Virus,,40corU1,Coronavirus HKU1,,,,,,,,,,
Virus,,40cor63,Coronavirus NL63,,,,,,,,,,
Virus,,40cor43,Coronavirus OC43,,,,,,,,,,
Virus,,40cor01,Coronavirus species,,,,,,,,,,
Bacteria,Positive,coraff,Corynebacterium afermentans ssp.afermentans,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corafe,Corynebacterium afermentans subspecies lipophilum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,coramy,Corynebacterium amycolatum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,coraxy,Corynebacterium amycolatum/xerosis,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,coraur,Corynebacterium aurimucosum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corari,Corynebacterium auris,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corbov,Corynebacterium bovis,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corgpf,Corynebacterium CDC group F,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corgpg,Corynebacterium CDC group G,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corcon,Corynebacterium confusum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corcoy,Corynebacterium coyleae,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,cordip,Corynebacterium diphtheriae,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corfal,Corynebacterium falsenii,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corfre,Corynebacterium freneyi,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corglc,Corynebacterium glucuronolyticum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corimi,Corynebacterium imitans,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corjk,Corynebacterium jeikeium (group JK),Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corkro,Corynebacterium kroppenstedtii,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corkut,Corynebacterium kutscheri,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,cormac,Corynebacterium macginleyi,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,cormin,Corynebacterium minutissimum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,cormuc,Corynebacterium mucifaciens,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,cormyc,Corynebacterium mycetoides,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corpil,Corynebacterium pilosum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corpro,Corynebacterium propinquum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corpdi,Corynebacterium pseudodiphtheriticum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corpse,Corynebacterium pseudotuberculosis,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corpyr,Corynebacterium pyruviciproducens,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corren,Corynebacterium renale,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corrie,Corynebacterium riegeli,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corsim,Corynebacterium simulans,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corspe,Corynebacterium species,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,cornjk,Corynebacterium species (not C. jeikeium),Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corstr,Corynebacterium striatum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,cortbc,Corynebacterium tuberculostearicum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,cortus,Corynebacterium tuscaniense,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corulc,Corynebacterium ulcerans,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corure,Corynebacterium urealyticum,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,corxer,Corynebacterium xerosis,Corynebacterium spp. ,Coryneform Bacteria,,M45,,,,,,
Virus,,19nCoV,COVID-19 virus,,,,,,,,,,
Bacteria,Negative,coxbur,Coxiella burnetii,,,,,,,,,,
Virus,,32coxa9,Coxsackie A9 virus,,,,,,,,,,
Virus,,33coxb,Coxsackie B virus,,,,,,,,,,
Virus,,88cjda,Creutzfeldt-Jakob disease agent,,,,,,,,,,
Bacteria,Negative,cromal,Cronobacter malonaticus,Cronobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,cromuy,Cronobacter muytjensii,Cronobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,entsak,Cronobacter sakazakii (formerly Enterobacter sakazakii),Cronobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Bacteria,Negative,crotur,Cronobacter turicensis,Cronobacter spp.,Enterobacterales,SPICE,M100,,,,,,
Yeast,,cryalb,Cryptococcus albidus,,,,,,,,,,
Yeast,,crycuv,Cryptococcus curvatus,,,,,,,,,,
Yeast,,cryhum,Cryptococcus humicola,,,,,,,,,,
Yeast,,canhum,Cryptococcus humicolus,,,,,,,,,,
Yeast,,crylau,Cryptococcus laurentii,,,,,,,,,,
Yeast,,crylut,Cryptococcus luteolus,,,,,,,,,,
Yeast,,cryneo,Cryptococcus neoformans,,,,,,,,,,
Yeast,,crynne,Cryptococcus species,,,,,,,,,,
Yeast,,cryter,Cryptococcus terreus,,,,,,,,,,
Yeast,,cryuni,Cryptococcus uniguttulatus,,,,,,,,,,
Parasite,,cryspo,Cryptosporidium oocysts,,,,,,,,,,
Parasite,,crypar,Cryptosporidium parvum,,,,,,,,,,
Parasite,,cryspp,Cryptosporidium species,,,,,,,,,,
Bacteria,Negative,cuppau,Cupriavidus pauculus,Cupriavidus spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,cupres,Cupriavidus respiraculi,Cupriavidus spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Positive,proacn,Cutibacterium acnes,Cutibacterium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,proavi,Cutibacterium avidum,Cutibacterium spp.,Anaerobes,,M100,,,,,,
Bacteria,Positive,progra,Cutibacterium granulosum,Cutibacterium spp.,Anaerobes,,M100,,,,,,
Parasite,,cyccay,Cyclospora cayetanensis,,,,,,,,,,
Parasite,,cycspp,Cyclospora species,,,,,,,,,,
Filamentous Fungi,,cypspe,Cyphellophora species,,,,,,,,,,
Virus,,13cmv,Cytomegalovirus,,,,,,,,,,
Filamentous Fungi,,daccon,Dactylaria constricta,,,,,,,,,,
Filamentous Fungi,,dacgal,Dactylaria gallopava,,,,,,,,,,
Filamentous Fungi,,debetc,Debaryomyces etchellsii,,,,,,,,,,
Bacteria,Positive,deispp,Deinococcus species,Deinococcus sp.,,,,,,,,,
Bacteria,Negative,pseaci,Delftia acidovorans(previously Comamonas acidovorans),Delftia acidovorans (previously Comamonas acidovorans),Other Non-Enterobacterales,,M100,,,,,,
Filamentous Fungi,,demmld,Dematiaceous Mould (dark),,,,,,,,,,
Virus,,77den,Dengue virus,,,,,,,,,,
Bacteria,Positive,derhom,Dermabacter hominis,Dermabacter homonis,Coryneform Bacteria,,M45,,,,,,
Ecto-parasite,,dervar,Dermacentor variabilis,,,,,,,,,,
Bacteria,Positive,dernis,Dermacoccus nishinomiyaensis (formerly Micrococcus),Micrococcus sp.,Micrococcus,,M45,,,,,,
Bacteria,Positive,desspe,Desemzia species,Desemzia sp.,,,,,,,,,
Bacteria,Negative,desspp,Desulfovibrio species,Desulfovibrio species,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,diapne,Dialister pneumosintes,Dialister pneumosintes,,,,,,,,,
Helminth,,dicden,Dicrocoelium dendriticum,,,,,,,,,,
Parasite,,diefra,Dientamoeba fragilis,,,,,,,,,,
Bacteria,Positive,diecin,Dietzia cinnamea,Dietzia spp.,Aerobic Actinomycetes,,M24,,,,,,
Bacteria,Positive,diemar,Dietzia maris,Dietzia spp.,Aerobic Actinomycetes,,M24,,,,,,
Bacteria,Positive,dienat,Dietzia natronolimnaea,Dietzia spp.,Aerobic Actinomycetes,,M24,,,,,,
Bacteria,Positive,dipspp,Diphtheroid species,Corynebacterium spp.,Coryneform Bacteria,,M45,,,,,,
Helminth,,diplat,Diphyllobothrium latum,,,,,,,,,,
Helminth,,diphyo,Diphyllobothrium species,,,,,,,,,,
Helminth,,dipcan,Dipylidium caninum,,,,,,,,,,
Bacteria,Positive,dolpig,Dolosigranulum pigrum,Dolosigranulum pigrum,,,,,,,,,
Filamentous Fungi,,dorspp,Doratomyces species,,,,,,,,,,
Bacteria,Negative,dysspe,Dysgonomonas species,Dysgonomonas species,Other Non-Enterobacterales,,M100,,,,,,
