Organism Type,Bacteria Gram Stain,Species Code,Species Full Name,Reported Name ,CLSI Breakpoint Group,Other Group,CLSI Breakpoint Group Document,,,Pooled Name,Weighted Average Rule KEY,Reporting Rules,Weighted Average Rules
Bacteria,Positive,acttur,Actinomyces turicensis,Actinomyces spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,actvis,Actinomyces viscosus,Actinomyces spp.,Coryneform Bacteria,,M45,,,,,,
Bacteria,Positive,actsch,Actinotignum schaalii (formerly Actinobaculum),Actinotignum schaalii,Anaerobes,,M100,,,,,,
Virus,,21ade,Adenovirus,,,,,,,,,,
Bacteria,Positive,aersan,Aerococcus sanguinicola,Aerococcus spp.,Aerococcus spp.,,M45,,,,,,
Bacteria,Positive,aercsp,Aerococcus species,Aerococcus spp.,Aerococcus spp.,,M45,,,,,,
Bacteria,Positive,aeruri,Aerococcus urinae,Aerococcus spp.,Aerococcus spp.,,M45,,,,,,
Bacteria,Positive,aervir,Aerococcus viridans,Aerococcus spp.,Aerococcus spp.,,M45,,,,,,
Bacteria,Negative,aercav,Aeromonas caviae,Aeromonas spp.,Aeromonas spp.,,M45,,,,,,
Bacteria,Negative,aerdro,Aeromonas hydrophila,Aeromonas spp.,Aeromonas spp.,,M45,,,,,,
Bacteria,Negative,aerhyd,Aeromonas hydrophila/caviae,Aeromonas spp.,Aeromonas spp.,,M45,,,,,,
Bacteria,Negative,aersas,Aeromonas salmonicida ssp salmonicida,Aeromonas spp.,Aeromonas spp.,,M45,,,,,,
Bacteria,Negative,aersob,Aeromonas sobria,Aeromonas spp.,Aeromonas spp.,,M45,,,,,,
Bacteria,Negative,aerspe,Aeromonas species,Aeromonas spp.,Aeromonas spp.,,M45,,,,,,
Bacteria,Negative,aerver,Aeromonas veronii,Aeromonas spp.,Aeromonas spp.,,M45,,,,,,
Virus,,77ahs,African Horse Sickness virus,,,,,,,,,,
Bacteria,Negative,acbact,Aggregatibacter actinomycetemcomitans,Aggregatibacter spp.,HACEK Group,,M45,,,,,,
Bacteria,Negative,aggaph,Aggregatibacter aphrophilus,Aggregatibacter spp.,HACEK Group,,M45,,,,,,
Bacteria,Negative,haeaph,Aggregatibacter aphrophilus(prev Haem.aphrophilus),Aggregatibacter spp.,HACEK Group,,M45,,,,,,
Bacteria,Negative,haepap,Aggregatibacter aphrophilus(prev. Haem.paraphrophilus),Aggregatibacter spp.,HACEK Group,,M45,,,,,,
Bacteria,Negative,haeseg,Aggregatibacter segnis,Aggregatibacter spp.,HACEK Group,,M45,,,,,,
Bacteria,Negative,agrrad,Agrobacterium radiobacter,Agrobacterium spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,agrrat,Agrobacterium radiobacter/tumefaciens,Agrobacterium spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,agrtmf,Agrobacterium tumefaciens,Agrobacterium spp.,Other Non-Enterobacterales,,M100,,,,,,
Virus,,77apv,Agua Preta virus,,,,,,,,,,
Virus,,77akv,Akabane virus,,,,,,,,,,
Bacteria,Negative,alcfae,Alcaligenes faecalis,Alcaligenes spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,alcspe,Alcaligenes species,Alcaligenes spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Positive,alloti,Alloiococcus otitis,Alloicoccus otitis,,,,,,,,,
Bacteria,Positive,allomn,Alloscardovia omnicolens,Alloscardovia omnicolens,Anaerobes,,M100,,,,,,
Virus,,77alv,Allpahuayo virus,,,,,,,,,,
Bacteria,Positive,alpstr,Alpha hemolytic Streptococcus,Viridans group streptococci,Streptococcus spp. Viridans Group,,M100,,,,,,
Filamentous Fungi,,altalt,Alternaria alternata,,,,,,,,,,
Filamentous Fungi,,altspp,Alternaria species,,,,,,,,,,
Amoeba,,amospp,Amoeba species,,,,,,,,,,
Bacteria,Negative,anagnb,Anaerobic gram negative bacillus,Anaerobic gram negative bacillus,Anaerobes,,M100,,,,,,
Bacteria,Negative,anncac,Anaerobic gram negative cocci,Anaerobic gram negative cocci,Anaerobes,,M100,,,,,,
Bacteria,Positive,anacoc,Anaerobic gram positive cocci,Anaerobic gram positive cocci,Anaerobes,,M100,,,,,,
Bacteria,Positive,anagpb,Anaerobic non-sporeforming gram positive bacilli,Anaerobic non-sporeforming gram positive bacilli,Anaerobes,,M100,,,,,,
Bacteria,Negative,anasuc,Anaerobiospirillum succiniciproducens,Anaerobiospirillum succiniciproducens,Anaerobes,,M100,,,,,,
Bacteria,Positive,anavag,Anaerococcus vaginalis,Anaerococcus vaginalis,Anaerobes,,M100,,,,,,
Helminth,,ancduo,Ancylostoma duodenale,,,,,,,,,,
Virus,,77anv,Andes virus,,,,,,,,,,
Bacteria,Positive,aneane,Aneurinibacillus aneurinilyticus,Aneurinibacillus aneurinilyticus,Bacillus,,M45,,,,,,
Bacteria,Positive,arapro,Arachnia propionica,Arachnia propionica,,,,,,,,,
Virus,,77arv,Araguari virus,,,,,,,,,,
Bacteria,Positive,corhae,Arcanobacterium haemolyticum,Arcanobacterium haemolyticum,Coryneform Bacteria,,M45,,,,,,
